ImgNo,ActualSmile,PredictedSmile
100,1,0
1000,1,0
10007,1,0
10009,1,0
10011,1,0
10012,1,0
10013,1,1
10018,1,1
10022,1,0
10025,1,0
10029,1,0
10030,1,0
10033,1,1
10035,1,0
10045,1,0
10046,1,1
10047,1,0
10048,1,0
1005,1,1
10050,1,0
10052,1,0
10054,1,0
10059,1,1
10064,1,0
10070,1,1
10072,1,0
10073,1,1
10080,1,1
1009,1,1
10090,1,0
10092,1,0
10098,1,1
10101,1,1
10102,1,1
10109,1,0
1011,1,0
10110,1,0
10111,1,0
10113,1,1
10115,1,0
10118,1,0
10123,1,1
10124,1,1
1013,1,0
10130,1,1
10131,1,0
10137,1,0
1014,1,0
10143,1,1
10144,1,1
10151,1,0
10152,1,1
10154,1,0
10155,1,0
10158,1,0
10159,1,0
1016,1,0
10162,1,0
10166,1,0
10177,1,0
10183,1,0
10189,1,0
10195,1,0
10198,1,0
10199,1,0
1020,1,1
10201,1,0
10203,1,0
10215,1,0
10218,1,0
10221,1,0
10228,1,1
10230,1,1
10235,1,1
10238,1,1
10241,1,0
10244,1,0
10246,1,0
10249,1,0
1025,1,0
10251,1,0
10253,1,1
10254,1,1
10259,1,1
1026,1,0
10265,1,0
10266,1,1
1027,1,0
10273,1,0
10274,1,0
10279,1,0
10282,1,0
10283,1,0
10285,1,1
10289,1,0
10292,1,1
10294,1,0
10298,1,1
103,1,1
10302,1,0
10318,1,1
10330,1,0
10333,1,0
10334,1,0
10337,1,1
10346,1,1
10348,1,1
1035,1,0
10350,1,0
10354,1,0
10356,1,0
10361,1,0
10367,1,0
1038,1,0
10384,1,0
10387,1,0
10390,1,0
10393,1,0
10394,1,0
10395,1,1
10402,1,1
10403,1,0
10407,1,1
10408,1,0
1041,1,1
10413,1,0
10427,1,0
1044,1,1
10444,1,0
10445,1,1
10447,1,1
10449,1,0
10450,1,0
10463,1,0
10465,1,0
10473,1,0
10475,1,1
10483,1,1
10488,1,0
10490,1,0
10492,1,1
10496,1,1
10507,1,1
10522,1,0
10525,1,0
10526,1,0
10532,1,0
10534,1,0
1054,1,1
10543,1,0
10547,1,0
10550,1,0
10552,1,1
10562,1,0
10564,1,0
10567,1,0
10571,1,0
10572,1,0
10573,1,0
10579,1,0
10585,1,1
1059,1,0
10590,1,0
10593,1,0
10595,1,0
10596,1,0
106,1,0
10601,1,0
10603,1,0
10609,1,0
10615,1,1
10616,1,0
1062,1,0
10622,1,0
10624,1,1
10625,1,0
10627,1,0
10629,1,0
10632,1,0
10635,1,0
1065,1,1
10657,1,0
10660,1,0
10661,1,1
10662,1,0
10670,1,1
10676,1,0
10677,1,1
10679,1,0
10681,1,0
10691,1,0
1070,1,0
10705,1,0
1072,1,1
10720,1,0
10723,1,0
10725,1,1
10726,1,1
10729,1,0
1073,1,0
10731,1,0
10732,1,0
10737,1,1
10740,1,1
10741,1,1
10742,1,0
10748,1,0
10753,1,0
10756,1,1
10759,1,0
10761,1,0
10766,1,1
10771,1,0
10773,1,0
10774,1,1
10778,1,1
10784,1,0
10787,1,1
10790,1,0
10791,1,0
10793,1,1
10796,1,0
10797,1,1
10799,1,1
1080,1,1
10800,1,0
10802,1,0
10805,1,0
10808,1,1
10812,1,0
1082,1,0
10824,1,0
10826,1,0
10828,1,0
10830,1,1
10832,1,1
10834,1,0
10835,1,1
10846,1,0
10847,1,0
10849,1,0
10850,1,1
10856,1,1
10859,1,0
10863,1,1
10868,1,0
10869,1,0
1087,1,1
10870,1,0
10872,1,0
10877,1,1
10879,1,0
10881,1,0
10886,1,0
10892,1,0
10897,1,0
10898,1,1
10899,1,1
10900,1,1
1091,1,0
10910,1,0
10925,1,0
10926,1,1
1093,1,0
10931,1,0
10932,1,1
10937,1,1
10938,1,0
10946,1,0
1095,1,1
10950,1,0
10963,1,0
10968,1,0
10985,1,0
10986,1,0
10987,1,0
10988,1,0
10999,1,0
11003,1,1
11004,1,1
11005,1,0
11011,1,0
11013,1,0
11016,1,1
1102,1,1
11025,1,0
11026,1,1
11027,1,0
1104,1,0
